intent,button,entities
greet,Xin chào,
bot_challenge,Bạn là bot phải không?,
ask_fee_tutor,Học phí là bao nhiêu?,
ask_menu,Thực đơn hôm nay có gì?,
tuyen_sinh_doi_tuong,Đối tượng tuyển sinh,
tuyen_sinh_thoi_gian_cach_thuc,Thời gian tuyển sinh,
tuyen_sinh_so_luong,Số lượng tuyển sinh,
tuyen_sinh_ho_so,Hồ sơ tuyển sinh,
ask_about_child,Con tôi ở lớp thế nào?,
ask_score,Điểm của con?,
ask_timetable,Thời khóa biểu {time},time
thanks,Cảm ơn,
goodbye,Tạm biệt,
give_phone_number,Số điện thoại của tôi là {phone_number},phone_number